,date,t1,g1,g2,t2,tourn
0,2002.04.23,Wanderers,2,2,Penarol,Copa Libertadores
1,2002.04.23,Cobreloa,0,2,Olimpia Asuncion,Copa Libertadores
2,2002.04.23,EL Nacional,0,0,Boca Juniors,Copa Libertadores
3,2002.04.23,Nacional,1,0,America De Cali,Copa Libertadores
4,2002.04.23,River Plate,1,2,Gremio,Copa Libertadores
5,2002.04.23,U. Catolica,1,1,Sao Caetano,Copa Libertadores
6,2002.04.29,Penarol,2,2,Wanderers,Copa Libertadores
7,2002.04.30,Sao Caetano,1,1,U. Catolica,Copa Libertadores
8,2002.04.30,Boca Juniors,2,0,EL Nacional,Copa Libertadores
9,2002.05.01,Olimpia Asuncion,2,1,Cobreloa,Copa Libertadores
10,2002.05.01,Gremio,4,0,River Plate,Copa Libertadores
11,2002.05.01,America De Cali,0,0,Nacional,Copa Libertadores
12,2002.05.08,Boca Juniors,1,1,Olimpia Asuncion,Copa Libertadores
13,2002.05.08,Gremio,1,0,Nacional,Copa Libertadores
14,2002.05.09,Penarol,1,0,Sao Caetano,Copa Libertadores
15,2002.05.14,Sao Caetano,2,1,Penarol,Copa Libertadores
16,2002.05.15,Nacional,1,1,Gremio,Copa Libertadores
17,2002.05.16,Olimpia Asuncion,1,0,Boca Juniors,Copa Libertadores
18,2002.07.10,Olimpia Asuncion,3,2,Gremio,Copa Libertadores
19,2002.07.17,Gremio,1,0,Olimpia Asuncion,Copa Libertadores
20,2002.07.24,Olimpia Asuncion,0,1,Sao Caetano,Copa Libertadores
21,2002.08.01,Sao Caetano,1,2,Olimpia Asuncion,Copa Libertadores
22,2002.08.27,Dep. Tachira,2,0,Monagas,Copa Sudamericana
23,2002.08.28,Aucas,1,2,Barcelona SC,Copa Sudamericana
24,2002.09.02,Cerro Porteno,0,2,Libertad Asuncion,Copa Sudamericana
25,2002.09.02,Bolivar,4,2,Oriente Petrolero,Copa Sudamericana
26,2002.09.04,Racing Club,1,0,River Plate,Copa Sudamericana
27,2002.09.04,Alianza Lima,1,0,U. de Deportes,Copa Sudamericana
28,2002.09.05,Danubio,1,1,Nacional,Copa Sudamericana
29,2002.09.05,Monagas,3,0,Dep. Tachira,Copa Sudamericana
30,2002.09.09,Libertad Asuncion,1,0,Cerro Porteno,Copa Sudamericana
31,2002.09.09,Atl. Nacional,1,0,America De Cali,Copa Sudamericana
32,2002.09.11,Gimnasia L.P.,3,1,Boca Juniors,Copa Sudamericana
33,2002.09.11,U. de Deportes,0,1,Alianza Lima,Copa Sudamericana
34,2002.09.12,Oriente Petrolero,1,0,Bolivar,Copa Sudamericana
35,2002.09.12,Barcelona SC,1,0,Aucas,Copa Sudamericana
36,2002.09.17,Nacional,2,0,Danubio,Copa Sudamericana
37,2002.09.18,Barcelona SC,1,0,Alianza Lima,Copa Sudamericana
38,2002.09.18,Boca Juniors,0,0,Gimnasia L.P.,Copa Sudamericana
39,2002.09.19,Bolivar,2,0,Libertad Asuncion,Copa Sudamericana
40,2002.09.19,Monagas,0,3,San Lorenzo,Copa Sudamericana
41,2002.09.23,Libertad Asuncion,1,1,Bolivar,Copa Sudamericana
42,2002.09.23,S. Wanderers,3,2,Cobreloa,Copa Sudamericana
43,2002.09.24,America De Cali,1,2,Atl. Nacional,Copa Sudamericana
44,2002.09.25,River Plate,0,0,Racing Club,Copa Sudamericana
45,2002.09.26,Alianza Lima,2,1,Barcelona SC,Copa Sudamericana
46,2002.09.26,San Lorenzo,5,1,Monagas,Copa Sudamericana
47,2002.10.01,Alianza Lima,1,0,Nacional,Copa Sudamericana
48,2002.10.02,San Lorenzo,3,1,Racing Club,Copa Sudamericana
49,2002.10.08,Atl. Nacional,2,1,S. Wanderers,Copa Sudamericana
50,2002.10.09,Bolivar,4,1,Gimnasia L.P.,Copa Sudamericana
51,2002.10.22,Nacional,3,1,Alianza Lima,Copa Sudamericana
52,2002.10.23,Racing Club,2,0,San Lorenzo,Copa Sudamericana
53,2002.10.29,S. Wanderers,1,0,Atl. Nacional,Copa Sudamericana
54,2002.10.30,Gimnasia L.P.,2,0,Bolivar,Copa Sudamericana
55,2002.11.01,Cobreloa,0,1,S. Wanderers,Copa Sudamericana
56,2002.11.04,Bolivar,2,1,San Lorenzo,Copa Sudamericana
57,2002.11.05,Atl. Nacional,2,1,Nacional,Copa Sudamericana
58,2002.11.12,Nacional,2,1,Atl. Nacional,Copa Sudamericana
59,2002.11.13,San Lorenzo,4,2,Bolivar,Copa Sudamericana
60,2002.11.27,Atl. Nacional,0,4,San Lorenzo,Copa Sudamericana
61,2002.12.11,San Lorenzo,0,0,Atl. Nacional,Copa Sudamericana
62,2003.02.05,America De Cali,1,5,Santos,Copa Libertadores
63,2003.02.05,12 de Octubre,3,1,EL Nacional,Copa Libertadores
64,2003.02.06,Barcelona SC,2,0,Colo Colo,Copa Libertadores
65,2003.02.06,Cerro Porteno,3,2,U. Catolica,Copa Libertadores
66,2003.02.11,Alianza Lima,1,1,Olimpia Asuncion,Copa Libertadores
67,2003.02.12,Cobreloa,0,0,Gimnasia L.P.,Copa Libertadores
68,2003.02.13,Sporting Cristal,0,2,Paysandu PA,Copa Libertadores
69,2003.02.18,Penarol,2,2,Gremio,Copa Libertadores
70,2003.02.18,U. de Deportes,1,1,Racing Club,Copa Libertadores
71,2003.02.18,Libertad Asuncion,2,2,Emelec,Copa Libertadores
72,2003.02.19,Dep. Cali,2,0,River Plate,Copa Libertadores
73,2003.02.19,U. Catolica,0,1,Sporting Cristal,Copa Libertadores
74,2003.02.19,Fenix,1,2,Corinthians,Copa Libertadores
75,2003.02.20,Santos,3,1,12 de Octubre,Copa Libertadores
76,2003.02.20,Olimpia Asuncion,0,0,Cobreloa,Copa Libertadores
77,2003.02.20,Boca Juniors,2,0,Ind. Medellin,Copa Libertadores
78,2003.02.25,Emelec,0,4,Dep. Cali,Copa Libertadores
79,2003.02.25,Bolivar,5,2,Penarol,Copa Libertadores
80,2003.02.25,Nacional,1,2,Racing Club,Copa Libertadores
81,2003.02.26,U. de Deportes,2,0,Oriente Petrolero,Copa Libertadores
82,2003.02.26,Colo Colo,1,2,Boca Juniors,Copa Libertadores
83,2003.02.26,Gimnasia L.P.,5,1,Alianza Lima,Copa Libertadores
84,2003.02.26,EL Nacional,1,1,America De Cali,Copa Libertadores
85,2003.02.27,River Plate,3,1,Libertad Asuncion,Copa Libertadores
86,2003.02.27,Ind. Medellin,1,0,Barcelona SC,Copa Libertadores
87,2003.02.27,The Strongest,1,0,Fenix,Copa Libertadores
88,2003.03.04,America De Cali,4,1,12 de Octubre,Copa Libertadores
89,2003.03.04,Gimnasia L.P.,1,1,Olimpia Asuncion,Copa Libertadores
90,2003.03.05,Boca Juniors,2,1,Barcelona SC,Copa Libertadores
91,2003.03.05,Alianza Lima,2,3,Cobreloa,Copa Libertadores
92,2003.03.06,Paysandu PA,0,0,Cerro Porteno,Copa Libertadores
93,2003.03.06,Oriente Petrolero,2,3,Nacional,Copa Libertadores
94,2003.03.06,Colo Colo,2,1,Ind. Medellin,Copa Libertadores
95,2003.03.11,Dep. Cali,1,0,Libertad Asuncion,Copa Libertadores
96,2003.03.11,Paysandu PA,3,1,U. Catolica,Copa Libertadores
97,2003.03.11,Corinthians,4,1,The Strongest,Copa Libertadores
98,2003.03.12,EL Nacional,0,0,Santos,Copa Libertadores
99,2003.03.12,Racing Club,2,0,Oriente Petrolero,Copa Libertadores
100,2003.03.12,Sporting Cristal,1,1,Cerro Porteno,Copa Libertadores
101,2003.03.13,Colo Colo,1,1,Barcelona SC,Copa Libertadores
102,2003.03.13,Emelec,3,1,River Plate,Copa Libertadores
103,2003.03.13,Gremio,1,0,Bolivar,Copa Libertadores
104,2003.03.18,Emelec,1,5,Libertad Asuncion,Copa Libertadores
105,2003.03.18,Paysandu PA,2,1,Sporting Cristal,Copa Libertadores
106,2003.03.18,Penarol,4,0,Bolivar,Copa Libertadores
107,2003.03.18,U. Catolica,2,1,Cerro Porteno,Copa Libertadores
108,2003.03.19,Gimnasia L.P.,0,0,Cobreloa,Copa Libertadores
109,2003.03.19,Nacional,2,0,U. de Deportes,Copa Libertadores
110,2003.03.19,EL Nacional,1,0,12 de Octubre,Copa Libertadores
111,2003.03.19,Santos,3,0,America De Cali,Copa Libertadores
112,2003.03.20,Fenix,2,0,The Strongest,Copa Libertadores
113,2003.03.20,Olimpia Asuncion,0,1,Alianza Lima,Copa Libertadores
114,2003.03.20,River Plate,2,1,Dep. Cali,Copa Libertadores
115,2003.03.25,Cobreloa,2,3,Olimpia Asuncion,Copa Libertadores
116,2003.03.25,Racing Club,1,1,U. de Deportes,Copa Libertadores
117,2003.03.25,12 de Octubre,1,4,Santos,Copa Libertadores
118,2003.03.26,Ind. Medellin,1,0,Boca Juniors,Copa Libertadores
119,2003.03.26,Alianza Lima,1,1,Gimnasia L.P.,Copa Libertadores
120,2003.03.27,Sporting Cristal,3,1,U. Catolica,Copa Libertadores
121,2003.03.27,America De Cali,1,0,EL Nacional,Copa Libertadores
122,2003.03.27,Cerro Porteno,2,6,Paysandu PA,Copa Libertadores
123,2003.04.01,Dep. Cali,1,0,Emelec,Copa Libertadores
124,2003.04.01,Nacional,3,0,Oriente Petrolero,Copa Libertadores
125,2003.04.02,Gremio,4,1,Penarol,Copa Libertadores
126,2003.04.02,Corinthians,6,1,Fenix,Copa Libertadores
127,2003.04.03,Boca Juniors,2,2,Colo Colo,Copa Libertadores
128,2003.04.03,Barcelona SC,2,4,Ind. Medellin,Copa Libertadores
129,2003.04.08,Oriente Petrolero,2,2,U. de Deportes,Copa Libertadores
130,2003.04.08,Olimpia Asuncion,4,1,Gimnasia L.P.,Copa Libertadores
131,2003.04.08,Cobreloa,4,0,Alianza Lima,Copa Libertadores
132,2003.04.09,Libertad Asuncion,0,2,River Plate,Copa Libertadores
133,2003.04.09,The Strongest,0,2,Corinthians,Copa Libertadores
134,2003.04.09,Racing Club,4,1,Nacional,Copa Libertadores
135,2003.04.10,Ind. Medellin,2,0,Colo Colo,Copa Libertadores
136,2003.04.10,Bolivar,1,0,Gremio,Copa Libertadores
137,2003.04.10,Barcelona SC,2,2,Boca Juniors,Copa Libertadores
138,2003.04.15,Cerro Porteno,1,0,Sporting Cristal,Copa Libertadores
139,2003.04.16,U. Catolica,1,1,Paysandu PA,Copa Libertadores
140,2003.04.16,U. de Deportes,2,2,Nacional,Copa Libertadores
141,2003.04.16,Santos,1,1,EL Nacional,Copa Libertadores
142,2003.04.16,Oriente Petrolero,0,1,Racing Club,Copa Libertadores
143,2003.04.16,12 de Octubre,1,4,America De Cali,Copa Libertadores
144,2003.04.17,River Plate,2,0,Emelec,Copa Libertadores
145,2003.04.17,Libertad Asuncion,1,0,Dep. Cali,Copa Libertadores
146,2003.04.22,Olimpia Asuncion,2,3,Gremio,Copa Libertadores
147,2003.04.23,Nacional,4,4,Santos,Copa Libertadores
148,2003.04.23,Cerro Porteno,0,1,Ind. Medellin,Copa Libertadores
149,2003.04.24,Boca Juniors,0,1,Paysandu PA,Copa Libertadores
150,2003.04.29,America De Cali,1,1,Racing Club,Copa Libertadores
151,2003.05.01,River Plate,2,1,Corinthians,Copa Libertadores
152,2003.05.06,Ind. Medellin,0,1,Cerro Porteno,Copa Libertadores
153,2003.05.07,Santos,2,2,Nacional,Copa Libertadores
154,2003.05.08,Gremio,3,0,Olimpia Asuncion,Copa Libertadores
155,2003.05.13,Racing Club,0,1,America De Cali,Copa Libertadores
156,2003.05.14,Corinthians,1,2,River Plate,Copa Libertadores
157,2003.05.15,Paysandu PA,2,4,Boca Juniors,Copa Libertadores
158,2003.05.20,River Plate,2,1,America De Cali,Copa Libertadores
159,2003.05.21,Cobreloa,1,2,Boca Juniors,Copa Libertadores
160,2003.05.22,Gremio,2,2,Ind. Medellin,Copa Libertadores
161,2003.05.27,America De Cali,4,1,River Plate,Copa Libertadores
162,2003.05.28,Boca Juniors,2,1,Cobreloa,Copa Libertadores
163,2003.05.29,Ind. Medellin,2,1,Gremio,Copa Libertadores
164,2003.06.04,Santos,1,0,Ind. Medellin,Copa Libertadores
165,2003.06.11,Boca Juniors,2,0,America De Cali,Copa Libertadores
166,2003.06.18,Ind. Medellin,2,3,Santos,Copa Libertadores
167,2003.06.19,America De Cali,0,4,Boca Juniors,Copa Libertadores
168,2003.06.25,Boca Juniors,2,0,Santos,Copa Libertadores
169,2003.07.02,Santos,1,3,Boca Juniors,Copa Libertadores
170,2003.07.12,Olimpia Asuncion,2,0,San Lorenzo,Recopa Sudamericana
171,2003.07.29,LDU Quito,2,0,Barcelona SC,Copa Sudamericana
172,2003.07.30,Gremio,0,4,Sao Paulo,Copa Sudamericana
173,2003.07.30,Sao Caetano,3,0,Palmeiras,Copa Sudamericana
174,2003.07.30,Corinthians,0,2,Atletico-MG,Copa Sudamericana
175,2003.07.31,Monagas,1,2,Petare,Copa Sudamericana
176,2003.08.04,The Strongest,2,2,Bolivar,Copa Sudamericana
177,2003.08.04,U. Catolica,0,1,Osorno,Copa Sudamericana
178,2003.08.05,Petare,1,0,Monagas,Copa Sudamericana
179,2003.08.05,Independiente,1,1,Rosario Central,Copa Sudamericana
180,2003.08.05,Dep. Pasto,0,0,Atl. Nacional,Copa Sudamericana
181,2003.08.06,Cienciano,1,0,Alianza Lima,Copa Sudamericana
182,2003.08.12,Colon Santa FE,3,1,Velez Sarsfield,Copa Sudamericana
183,2003.08.12,Barcelona SC,2,1,LDU Quito,Copa Sudamericana
184,2003.08.13,Santos,1,1,Internacional,Copa Sudamericana
185,2003.08.13,Palmeiras,0,1,Cruzeiro,Copa Sudamericana
186,2003.08.13,Fluminense,2,0,Corinthians,Copa Sudamericana
187,2003.08.14,Guarani,0,1,Libertad Asuncion,Copa Sudamericana
188,2003.08.14,Petare,1,2,San Lorenzo,Copa Sudamericana
189,2003.08.19,Bolivar,1,1,The Strongest,Copa Sudamericana
